name,count_2023,count_2024,count_2025,birthDate,deathDate,nationality,occupationType
Shantanu Narayen,1682,1668,183,1963-05-27T00:00:00Z,,United States and India,Entrepreneur
Laurene Powell Jobs,1360,1615,541,1963-11-06T00:00:00Z,,United States,Entrepreneur
Daniel Zhang,2895,229,59,1972-01-11T00:00:00Z,,People's Republic of China,Entrepreneur
Scott Farquhar,1071,1268,613,1979-12-00T00:00:00Z,,Australia,Entrepreneur
Vinod Khosia,808,1643,113,1955-01-28T00:00:00Z,,United States and India,Entrepreneur
Chamath Palihapitiya,966,1051,292,1976-09-03T00:00:00Z,,Canada and Sri Lanka,Entrepreneur
Robin Li,1408,578,282,1968-11-17T00:00:00Z,,People's Republic of China,Entrepreneur
Ben Horowitz,280,1777,127,1966-06-13T00:00:00Z,,United Kingdom,Entrepreneur
Pony Ma,237,141,88,,1971-10-29T00:00:00Z,People's Republic of China,Entrepreneur
John Elkann,584,1914,1547,1976-04-01T00:00:00Z,,United States,Entrepreneur
Stephan Winkelmann,1464,848,155,1964-10-18T00:00:00Z,,Germany,Entrepreneur
Chris Kempczinski,2809,3831,1222,1968-09-26T00:00:00Z,,United States,Entrepreneur
James Quincey,2860,2377,1265,1965-01-08T00:00:00Z,,United Kingdom,Entrepreneur
Ryan Mcinerney,2411,3014,821,1975-00-00T00:00:00Z,,United States,Entrepreneur
Koji Sato,3400,1389,311,1969-10-19T00:00:00Z,,Japan,Entrepreneur
Arvind Krishna,2645,1466,711,1962-00-00T00:00:00Z,,United States and India,Entrepreneur
Chuck Robbins,803,1041,320,1965-00-00T00:00:00Z,,United States,Entrepreneur
Elliott Hill,5,1451,460,1963-00-00T00:00:00Z,,United States,Entrepreneur
David Zaslav,14969,4096,1209,1960-01-15T00:00:00Z,,United States,Entrepreneur
Adam Silver,10768,7687,1737,1962-04-25T00:00:00Z,,United States,Entrepreneur
Gianni Infantino,8622,4503,2619,1970-03-23T00:00:00Z,,Italy and Switzerland  ,Entrepreneur
Kelly Ortberg,7,9122,1841,1960-00-00T00:00:00Z,,United States,Entrepreneur
Oliver Blume,2795,3104,717,1968-06-06T00:00:00Z,,Germany,Entrepreneur
Euisun Chung,950,641,444,1970-04-18T00:00:00Z,,South Korea,Entrepreneur
Benedetto Vigna,886,697,562,1969-04-10T00:00:00Z,,Italy,Entrepreneur
Piero Ferrari,743,771,343,1945-05-22T00:00:00Z,,Italy,Entrepreneur
